name,extID,minswitches,minduration
WAKENDORF (Germany),008047223,2,3.1333333333333333
QUAKENBRUECK (Germany),008021256,1,4.1
BERLIN-STAAKEN (Germany),008003521,0,Inf
ALBSTADT-EBINGEN (Germany),008029350,1,7.45
ALBSTADT-EBINGEN WEST (Germany),008039116,2,7.816666666666666
ALBSTADT-LAUFEN ORT (Germany),008029664,2,7.733333333333333
ALBSTADT-LAUTLINGEN (Germany),008029348,2,7.783333333333333
HALBERSTADT (Germany),008024154,1,2.7666666666666666
ALBSHAUSEN (Germany),008011428,1,5.3
ALBSHEIM(EIS) (Germany),008019349,3,6.033333333333333
UBSTADT ORT (Germany),008042102,1,5.95
HALBERSTADT OSTSTR (Germany),008024332,1,2.8833333333333333
HALBERSTADT-SPIEGELSBERGE (Germany),008024444,1,2.933333333333333
ALFELD(LEINE) (Germany),008013063,1,2.85
SAALFELD(SAALE) (Germany),008016332,1,3.1
ILFELD (Germany),008059815,3,3.45
DELLFELD (Germany),008019677,2,6.85
ALLENDORF(DILLKR) (Germany),008088423,2,6.183333333333334
BAD SOODEN-ALLENDORF (Germany),008005445,1,3.3666666666666667
STADTALLENDORF (Germany),008005382,1,3.9833333333333334
HALLE-AMMENDORF (Germany),008023005,1,1.25
MELLENDORF (Germany),008013685,1,2.55
WELLENDORF (Germany),008021480,1,4.1
ZELLENDORF (Germany),008023128,0,Inf
ZILLENDORF (Germany),008026254,2,6.55
SELLSTEDT (Germany),008058583,2,4.216666666666667
SOLLSTEDT (Germany),008016525,1,3.3666666666666667
FRELLSTEDT (Germany),008013230,1,2.316666666666667
NORDERSTEDT-MOORBEKHALLE (Germany),008059304,3,3.0166666666666666
BALLSTAEDT(GOTHA) (Germany),008016574,2,2.6666666666666665
WAHLSTEDT (Germany),008072042,2,3.4166666666666665
HAMBURG-EIDELSTEDT (Germany),008001279,1,2.2
HAMBURG-RAHLSTEDT (Germany),008001627,1,2.15
ALPIRSBACH (Germany),008014208,1,7.3
ALTERSBACH (Germany),008016163,2,3.35
ANGERSBACH (Germany),008005619,1,4.183333333333334
LORSBACH (Germany),008011112,2,4.783333333333333
ENDERSBACH (Germany),008029519,2,6.083333333333333
NELLMERSBACH (Germany),008029575,2,5.533333333333333
KERSBACH (Germany),008022160,1,3.5166666666666666
ALSDORF-BUSCH (Germany),008085628,2,6.366666666666666
ALSDORF-ANNAPARK (Germany),008085629,2,6.4
ALSDORF(WESTERW) (Germany),008045600,2,6.15
ALSDORF-KELLERSBERG (Germany),008093802,2,6.533333333333333
ALSDORF-MARIADORF (Germany),008087214,2,6.566666666666666
ALSDORF POSTSTRASSE (Germany),008093803,2,6.6
ADELSDORF(MITTELFR) (Germany),008022493,1,3.9166666666666665
KARLSDORF (Germany),008014090,1,6.05
MELSDORF (Germany),008098662,2,3.966666666666667
ALSFELD(OBERHESS) (Germany),008005613,1,4.466666666666667
MALSFELD (Germany),008005407,1,3.6666666666666665
